artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Jimmy Eat World;The Middle;165853;2001;162.152;rock, pop;0.849;2;-5.428
Flo Rida;Wild Ones (feat. Sia);232946;2012;127.075;hip hop, pop;0.86;5;-5.324
Becky G;Sin Pijama;188560;2018;94.014;pop, latin;0.745;11;-3.695
Muse;Uprising;304840;2009;128.019;rock;0.905;2;-4.046
Lady Gaga;The Edge Of Glory;320546;2011;127.952;pop;0.768;9;-6.477
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Avril Lavigne;Here's to Never Growing Up;214080;2013;164.986;pop;0.871;0;-3.084
Taylor Swift;22;232120;2012;103.987;pop;0.729;7;-6.561
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Melanie C;Never Be The Same Again;294200;1999;160.067;pop, Dance/Electronic;0.685;3;-5.153
Fifth Harmony;Work from Home (feat. Ty Dolla $ign);214480;2016;105.017;pop;0.585;8;-5.861
Lemaitre;Closer;270589;2017;91.977;pop;0.785;2;-3.991
Moloko;The Time Is Now;318280;2000;127.962;pop, Dance/Electronic;0.743;9;-10.644
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Nico & Vinz;Am I Wrong;245866;2014;119.968;hip hop, pop;0.675;8;-6.003
Alex Clare;Too Close;256613;2011;126.027;rock;0.694;11;-4.278
One Direction;Story of My Life;245493;2013;121.07;pop;0.663;3;-5.802
Lana Del Rey;Born To Die;286253;2012;75.223;pop;0.636;4;-6.591
Travis Scott;BUTTERFLY EFFECT;190677;2017;140.987;hip hop, Dance/Electronic;0.598;11;-6.865
Papa Roach;Scars;208199;2004;89.782;rock, metal;0.929;11;-3.295
Ludacris;Stand Up;213760;2003;99.057;hip hop, pop;0.84;6;-4.855
Flipp Dinero;Leave Me Alone;195637;2019;150.024;hip hop, pop;0.743;7;-2.806
Chris Brown;Yeah 3x;241666;2011;130.0;hip hop, pop, R&B;0.882;11;-3.201
2Pac;Until The End Of Time;266506;2001;96.976;hip hop;0.706;8;-6.665
Nicky Jam;X;172854;2019;179.968;latin;0.749;9;-5.298
Eminem;Ass Like That;265480;2004;83.093;hip hop;0.796;2;-6.152
Demi Lovato;Give Your Heart a Break;205346;2011;123.008;pop;0.695;6;-3.218
David Archuleta;Crush;213520;2008;162.084;pop;0.664;0;-4.718
Sak Noel;Loca People - Radio Edit;215624;2011;127.998;Dance/Electronic;0.808;11;-3.148
Justin Timberlake;Summer Love;252973;2006;95.802;pop;0.591;0;-7.228
JLS;Beat Again - Radio Edit;196640;2009;120.02;pop;0.93;11;-4.577
Ne-Yo;So Sick;207186;2006;92.791;pop, R&B;0.574;6;-8.336
David Guetta;Who's That Chick? (feat. Rihanna);201040;2010;127.938;hip hop, pop, Dance/Electronic;0.602;11;-4.733
Justin Timberlake;My Love (feat. T.I.);276160;2006;119.952;pop;0.68;11;-5.881
Lana Del Rey;Doin' Time;202192;2019;144.982;pop;0.559;7;-11.132
Sean Paul;Temperature;218573;2005;125.04;hip hop, pop;0.6;0;-4.675
Stereophonics;Dakota;297426;2005;146.994;rock, pop;0.93;4;-3.499
Ryan Cabrera;True;204173;2004;96.938;pop;0.4;6;-10.054
Will Young;Leave Right Now;214733;2003;81.931;pop;0.445;6;-8.674
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
Jax Jones;All Day And Night;169303;2019;121.908;hip hop, pop, Dance/Electronic;0.782;1;-4.101
Usher;Love in This Club (feat. Young Jeezy);259720;2008;140.012;hip hop, pop, R&B;0.712;0;-5.976
Paulo Londra;Adan y Eva;256971;2019;171.993;hip hop, latin, Dance/Electronic;0.709;1;-4.47
P!nk;Don't Let Me Get Me - Radio Edit;210693;2001;98.525;pop;0.85;0;-4.754
Grimes;Oblivion;251266;2012;155.974;pop, rock, Dance/Electronic;0.529;2;-8.838
Tyga;Faded;206666;2012;95.073;hip hop, pop;0.667;1;-8.438
Jason Derulo;Don't Wanna Go Home;206080;2011;121.956;hip hop, pop;0.808;2;-4.861
Wheatus;Teenage Dirtbag;241666;1999;94.661;set();0.85;4;-3.904
Eminem;Without Me;290320;2002;112.238;hip hop;0.669;7;-2.827
Martin Garrix;In the Name of Love;195706;2016;133.99;pop, Dance/Electronic;0.519;4;-5.88
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
112;It's Over Now;264933;2001;97.988;hip hop, pop, R&B;0.71;1;-4.541
Pitbull;Feel This Moment (feat. Christina Aguilera);229506;2012;135.956;hip hop, pop, latin;0.758;7;-3.632
Alice Deejay;Better Off Alone;214883;2000;136.953;pop;0.88;8;-6.149
Kanye West;All Falls Down;223506;2004;91.03;hip hop;0.734;8;-4.832
Rihanna;Te Amo;208426;2009;171.917;hip hop, pop, R&B;0.707;8;-5.455
Jennifer Lopez;Ain't It Funny;246160;2001;99.825;hip hop, pop, R&B;0.869;5;-4.525
XXXTENTACION;SAD!;166605;2018;75.023;hip hop;0.613;8;-4.88
Clean Bandit;Rather Be (feat. Jess Glynne);227833;2014;120.97;pop, Dance/Electronic;0.586;11;-6.735
Lloyd;You;273133;2007;130.159;hip hop, pop, R&B;0.876;5;-6.008
Duck Sauce;Barbra Streisand - Radio Edit;196533;2010;127.965;Dance/Electronic;0.922;1;-1.966
Cher Lloyd;Want U Back;214013;2011;97.954;pop, Dance/Electronic;0.893;9;-2.963
Jack Ü;Where Are Ü Now (with Justin Bieber);250285;2015;139.432;pop, Dance/Electronic;0.781;4;-4.038
Sugababes;About You Now;212400;2007;82.499;pop, R&B;0.699;1;-6.065
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
Justin Bieber;Friends (with BloodPop®);189466;2017;104.99;pop;0.739;8;-5.35
Birdy;Let It All Go;280757;2015;107.005;pop;0.43;10;-8.644
Martin Garrix;Animals - Radio Edit;176117;2013;128.015;pop, Dance/Electronic;0.914;1;-5.351
Bruno Mars;Talking to the Moon;217866;2010;145.867;pop;0.59;1;-4.721
Joe;I Wanna Know;296693;2000;136.086;pop, R&B;0.487;8;-5.959
Avril Lavigne;When You're Gone;240493;2007;142.034;pop;0.719;4;-3.921
The Script;Hall of Fame (feat. will.i.am);202533;2012;84.786;pop, rock;0.873;10;-4.343
Ciara;Get Up (feat. Chamillionaire);261880;2006;128.593;pop, R&B;0.595;1;-6.887
Miley Cyrus;Party In The U.S.A.;202066;2009;96.021;pop;0.698;10;-4.667
